number,hash_id,report_id,hash,pulses,earliest_pulse_date,recentmost_pulse_date,plugin_amount,analysis_date
57,94,349,487cecb29321d2567b0679b4afe4bf422dd65914,0,NA,NA,NA,NA
58,66336,47929,98a6e0c8b8ec4dbbc3ef21308ec04912fa38e84828cedad99e081d588811ba5e,3,2021-01-26,2021-04-15,NA,NA
59,66318,47892,ee2bbe2398be8a1732c0afc318b797f192ce898982bff1b109005615588facb0,0,NA,NA,10,2019-05-12
60,64,212,51e275eba9d349772b6655ea4a87bd399e72053c,0,NA,NA,NA,NA
61,70160,50802,9b86888a83dd0dd1c3a0929f1ea53b82,3,2021-08-18,2021-08-20,NA,NA
62,70109,50784,4bcbf078a78ba0e842f78963ba9dd71240ab6a6d,4,2016-11-10,2018-11-21,13,2019-02-14
63,66393,47929,99c95b5272c5b11093eed3ef2272e304b7a9311a22ff78caeb91632211fcb777,3,2021-01-26,2021-04-15,NA,NA
64,32,83,7a35a20bb3fc5d879b99a71d9c5c5475752b900a3082aa5c4f2d6d23aa78dee2,4,2018-01-16,2018-02-06,12,2018-01-18
65,34495,35665,824bee27f10d5c81879657c8a2af9f0c,0,NA,NA,NA,NA
66,70107,50784,a76c02c067eae26d78f4b494274dfa6aedc6fa7a,4,2016-11-10,2018-11-21,10,2019-02-14
67,70163,50803,893cd3583b49cb706b3e55ecb2ed0757b977a21f5c72e041392d1256f31166e2,16,2021-03-02,2021-10-28,NA,NA
68,34529,35665,942b1ca8c3c64be1e4c40e26c9e39ad8,1,2017-02-20,2017-02-20,NA,NA
69,37,83,78a81cc9b7caac10a7c68be8496d948121abc5f4df9a098f2e1469ddbea55be0,0,NA,NA,NA,NA
70,47,135,b3e9e5f967a53ad4114d93ef20358aaceab781c3,0,NA,NA,NA,NA
71,70182,50806,c9320a9dc97adbe96c088d3f5ddf3f9275124137f0bf200fdd7160f47c5dcf1a,3,2020-04-21,2020-04-23,NA,NA
72,42,108,eb5a3ef3ff238509bcc01cc6a92b77c52df92fa4,0,NA,NA,NA,NA
73,70130,50788,dadc493abbe3e21610539e1d5a42f523626a6132,8,2018-06-07,2022-01-27,10,2018-06-08
74,66384,47929,95e42a94d4df1e7e472998f43b9879eb34aaa93f3705d7d3ef9e3b97349d7008,3,2021-01-26,2021-04-15,NA,NA
75,34503,35665,860d5840c3b1a750d8c4e6bc68ecfbab,1,2017-02-20,2017-02-20,NA,NA
76,28,83,012966cc1b714531790dd3f5f6cc040b2232fea98b0dbe56a24b13ae72160be5,2,2018-01-16,2018-02-06,12,2018-01-18
77,34512,35665,8ba366ef5ecd802c82289dcea22b2146,0,NA,NA,NA,NA
78,66347,47929,88aeaff0d989db824d6e9429cd94bc22bbbfc39775c0929e703343798f69e9cc,3,2021-01-26,2021-04-15,NA,NA
79,70110,50784,5f105801a1abb398dadc756480713f9bd7a4aa73,4,2016-11-10,2018-11-21,9,2019-06-12
80,34523,35665,9157d078effa4b727180c40bedb74ef6,1,2017-02-20,2017-02-20,NA,NA
81,19,60,10262386d4740e2211842f1757904c32f2e431cc,0,NA,NA,NA,NA
82,66351,47929,5815103140c68614fd7fc05bad540e654a37b81b7e451e213128f2eff081005a,3,2021-01-26,2021-04-15,NA,NA
