529,25,www.merijn.org,0,NA,0,NA,NA
560,25,123.com,2,2020-11-03,5,2017-05-11,2022-03-04
561,27,for-sunny-se.com,0,NA,19,2016-05-30,2021-12-21
562,27,winter-smile.com,1,2020-05-04,210,2022-04-26,2022-08-02
563,27,buy-security-essentials.com,0,NA,2,2019-03-27,2022-04-15
564,27,get-key-se10.com,0,NA,0,NA,NA
565,27,download-soft-package.com,0,NA,0,NA,NA
566,28,link.matav.hu.viewcard.index42adr4502hhjetywyjdf334gsdev25546.com,0,NA,0,NA,NA
567,34,crib.acidfox.info,0,NA,2,2015-03-23,2015-03-23
584,34,www.analysis.seclab.tuwien.ac,0,NA,0,NA,NA
616,34,www.merijn.org,0,NA,0,NA,NA
647,34,123.com,2,2020-11-03,5,2017-05-11,2022-03-04
648,36,pong.asiaincorporated.info,0,NA,0,NA,NA
665,36,www.analysis.seclab.tuwien.ac,0,NA,0,NA,NA
697,36,www.merijn.org,0,NA,0,NA,NA
728,36,123.com,2,2020-11-03,5,2017-05-11,2022-03-04
729,37,s2.cookingluck.com,0,NA,52,2022-07-13,2022-08-01
730,38,01.cybernix.info,0,NA,1,2016-03-10,2016-03-10
747,38,www.analysis.seclab.tuwien.ac,0,NA,0,NA,NA
779,38,www.merijn.org,0,NA,0,NA,NA
810,38,123.com,2,2020-11-03,5,2017-05-11,2022-03-04
811,42,mircomassi.no-ip.org,0,NA,0,NA,NA
812,42,ciccio90000.no-ip.org,0,NA,0,NA,NA
813,42,marcus90000.whyi.org,0,NA,0,NA,NA
814,42,sendtoother.whyi.org,0,NA,0,NA,NA
815,43,smtps.uol.com,0,NA,0,NA,NA
816,46,leona-lewis-bleeding-love.mp3.www-freemp3s.com,0,NA,0,NA,NA
817,46,java.kutlufamily.com,0,NA,0,NA,NA
818,48,aaszxt.ru,1,2017-02-19,4,2016-05-05,2016-05-10
819,49,leona-lewis-bleeding-love.mp3.www-freemp3s.com,0,NA,0,NA,NA
820,49,cr4ckr0x.net,0,NA,6,2015-04-01,2020-03-01
821,50,08.super5566.com,0,NA,5,2017-05-16,2017-06-09
822,50,am.super1024.com,0,NA,10,2017-04-29,2017-05-13
823,54,www.yazilichat.net,0,NA,0,NA,NA
824,54,www.symantrec.com,0,NA,0,NA,NA
825,58,primasentrausaha.com,4,2016-04-15,82,2016-04-26,2022-02-04
826,58,masterlegue.com,36,2016-04-05,152,2020-01-19,2022-02-07
827,58,tradinbow.com,38,2016-03-24,82,2016-04-26,2022-02-04
828,58,mkis.org,7,2016-03-24,83,2016-04-26,2022-02-04
829,59,huanjue6369029.gicp.net,0,NA,2,2016-05-13,2016-07-14
830,59,imddos.my03.com,0,NA,136,2017-03-16,2017-08-03
831,60,www.q887.com,0,NA,0,NA,NA
832,62,trojan.ransomcrypt.ac,0,NA,0,NA,NA
833,63,cdn.cbtclick.biz,0,NA,6,2015-04-08,2016-11-03
834,63,cdn.rgpmedia.biz,0,NA,9,2015-04-08,2016-11-03
835,65,search.wish-search.com,0,NA,0,NA,NA
836,65,search.liveinfopro.com,0,NA,0,NA,NA
837,67,live.messenger.com,0,NA,0,NA,NA
838,67,leona-lewis-bleeding-love.mp3.www-freemp3s.com,0,NA,0,NA,NA
839,67,c.united-crew.org,0,NA,1,2015-05-17,2015-05-17
840,68,beaconhillupdate.com,0,NA,3,2019-03-10,2022-04-16
841,70,haha.servehttp.com,0,NA,122,2019-12-11,2021-01-07
843,70,api.ipify.org,0,NA,13886,2022-07-31,2022-08-02
844,70,telize.com,50,2021-03-07,1274,2022-06-08,2022-07-27
845,71,xfer.data1cero.com,0,NA,0,NA,NA
862,71,www.analysis.seclab.tuwien.ac,0,NA,0,NA,NA
894,71,www.merijn.org,0,NA,0,NA,NA
925,71,123.com,2,2020-11-03,5,2017-05-11,2022-03-04
926,72,leona-lewis-bleeding-love.mp3.www-freemp3s.com,0,NA,0,NA,NA
927,72,new.bradford-cadets.net,0,NA,0,NA,NA
928,73,xfer.data1cero.com,0,NA,0,NA,NA
